scenario,time_days,temperature_change_c,completed_cycles,mechanical_mm,thermal_recoverable_mm,hydraulic_transient_mm,cyclic_residual_mm,total_settlement_mm,allowable_settlement_mm,u_upper_silty_clay_kpa,u_sandy_silt_kpa,u_dense_sand_kpa
Building foundation,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,25.0,0.0,0.0,0.0
Building foundation,2.0179558011049723,0.31236083527663805,0.0,11.538461538461538,0.04266636063988728,0.0055882538276730235,0.0,11.586716152929098,25.0,3.120251360035269,1.787638109712061,0.8304633692798015
Building foundation,4.035911602209945,0.6243453000757435,0.0,11.538461538461538,0.08528131163837573,0.022050352563662272,0.0,11.645793202663576,25.0,6.230038693863111,3.5501995135344275,1.5997008604189318
Building foundation,6.053867403314917,0.9355774774168945,0.0,11.538461538461538,0.1277935052986802,0.048944259268360456,0.0,11.715199303028578,25.0,9.325629355378501,5.285854398742831,2.3111531384003112
Building foundation,8.07182320441989,1.2456823567674624,0.0,11.538461538461538,0.17015171773860457,0.08584264108679585,0.0,11.794455897286939,25.0,12.403307773408427,6.992801603748096,2.9680137609967976
Building foundation,10.08977900552486,1.5542862859010944,0.0,11.538461538461538,0.21230491061133008,0.1323314462330223,0.0,11.883097895305891,25.0,15.459379928752263,8.66927083668673,3.5732483003363877
Building foundation,12.107734806629834,1.8610174211195458,0.0,11.538461538461538,0.25420229260264815,0.18800860500359745,0.0,11.980672436067783,25.0,18.490177805253566,10.313524856196189,4.129612073419494
Building foundation,14.125690607734807,2.16550617529537,0.0,11.538461538461538,0.29579338063053745,0.2524828462366876,0.0,12.086737765328763,25.0,21.492063809540035,11.923861611755015,4.639666581024829
Building foundation,16.14364640883978,2.467385663195625,0.0,11.538461538461538,0.33702806067334656,0.32537262123013844,0.0,12.200862220365025,25.0,24.461435154106333,13.498616341016847,5.105794747236354
Building foundation,18.16160220994475,2.7662921435500016,0.0,11.538461538461538,0.3778566481532861,0.4063051276849269,0.0,12.32262331429975,25.0,27.394728198458314,15.036163621618845,5.530215045143678
Building foundation,20.17955801104972,3.0618654573307245,0.0,11.538461538461538,0.41822994780247585,0.49491542675285916,0.0,12.451606913016875,25.0,30.288422743088066,16.534919374999937,5.914994588074478
Building foundation,22.197513812154696,3.3537494617161263,0.0,11.538461538461538,0.4580993129394099,0.590845646742385,0.0,12.587406498143334,25.0,33.13904627110579,17.993342819821983,6.262061259974618
Building foundation,24.215469613259668,3.6415924592150115,0.0,11.538461538461538,0.4974167040844199,0.6937442674765075,0.0,12.729622510022466,25.0,35.94317813241771,19.409938372647616,6.573214953226775
Building foundation,26.23342541436464,3.9250476214347376,0.0,11.538461538461538,0.5361347468435056,0.8032654797046412,0.0,12.877861765009685,25.0,38.69745366540835,20.78325749359187,6.850137977261475
Building foundation,28.251381215469614,4.20377340698242,0.0,11.538461538461538,0.5742067889907906,0.9190686143482797,0.0,13.03173694180061,25.0,41.398568251161,22.111900474731105,7.0944046967372065
Building foundation,30.269337016574585,4.4774339729957,0.0,11.538461538461538,0.6115869566808195,1.040817636710638,0.0,13.190866131852996,25.0,44.043281295331155,23.39451816912136,7.307490453822484
