time_days,numerical_kpa,analytical_kpa,absolute_error_kpa
0.0,0.0,0.0,0.0
0.5,0.17391079308565985,0.17391079308565985,0.0
1.0,0.34566123160334233,0.34566123160334344,1.1102230246251565e-15
1.5,0.5152781519084948,0.5152781519084947,1.1102230246251565e-16
2.0,0.6827880569900031,0.6827880569900039,7.771561172376096e-16
2.5,0.848217120611338,0.8482171206113388,7.771561172376096e-16
3.0,1.0115911914002584,1.0115911914002602,1.7763568394002505e-15
3.5,1.172935796887712,1.1729357968877128,6.661338147750939e-16
4.0,1.3322761474965645,1.332276147496567,2.4424906541753444e-15
4.5,1.4896371404807789,1.4896371404807807,1.7763568394002505e-15
5.0,1.6450433638156625,1.6450433638156639,1.3322676295501878e-15
5.5,1.798519100039788,1.7985191000397904,2.4424906541753444e-15
6.0,1.950088330049189,1.950088330049191,1.9984014443252818e-15
6.5,2.0997747368444237,2.0997747368444264,2.6645352591003757e-15
7.0,2.2476017092310947,2.2476017092310974,2.6645352591003757e-15
7.5,2.3935923454743926,2.3935923454743953,2.6645352591003757e-15
8.0,2.5377694569082516,2.5377694569082547,3.1086244689504383e-15
8.5,2.680155571499663,2.6801555714996663,3.1086244689504383e-15
9.0,2.820772937368719,2.8207729373687216,2.6645352591003757e-15
9.5,2.9596435262649248,2.959643526264927,2.220446049250313e-15
10.0,3.0967890370003293,3.096789037000332,2.6645352591003757e-15
10.5,3.2322308988400104,3.232230898840013,2.6645352591003757e-15
11.0,3.365990274850439,3.3659902748504416,2.6645352591003757e-15
11.5,3.498088065206252,3.4980880652062547,2.6645352591003757e-15
12.0,3.6285449104559477,3.6285449104559504,2.6645352591003757e-15
12.5,3.757381194747012,3.7573811947470155,3.552713678800501e-15
13.0,3.8846170490109864,3.8846170490109895,3.1086244689504383e-15
13.5,4.010272354108962,4.010272354108967,4.440892098500626e-15
14.0,4.134366743938009,4.1343667439380125,3.552713678800501e-15
14.5,4.256919608499008,4.256919608499013,4.440892098500626e-15
15.0,4.377950096926385,4.377950096926389,3.552713678800501e-15
15.5,4.497477120480195,4.497477120480199,4.440892098500626e-15
16.0,4.615519355501045,4.61551935550105,4.440892098500626e-15
16.5,4.73209524632832,4.732095246328324,4.440892098500626e-15
17.0,4.847223008182134,4.847223008182138,4.440892098500626e-15
17.5,4.960920630009507,4.960920630009512,5.329070518200751e-15
18.0,5.073205877295169,5.073205877295174,5.329070518200751e-15
18.5,5.184096294837454,5.1840962948374605,6.217248937900877e-15
19.0,5.293609209489713,5.293609209489719,6.217248937900877e-15
19.5,5.401761732867665,5.401761732867672,7.105427357601002e-15
20.0,5.508570764023125,5.5085707640231325,7.105427357601002e-15
20.5,5.614052992084519,5.614052992084525,6.217248937900877e-15
21.0,5.718224898864582,5.718224898864589,7.105427357601002e-15
21.5,5.821102761435691,5.821102761435699,7.993605777301127e-15
22.0,5.92270265467318,5.922702654673188,7.993605777301127e-15
22.5,6.023040453767071,6.023040453767079,7.993605777301127e-15
23.0,6.122131836702614,6.122131836702621,7.105427357601002e-15
23.5,6.219992286709994,6.219992286710002,7.993605777301127e-15
24.0,6.3166370946836246,6.31663709468363,5.329070518200751e-15
24.5,6.412081361571375,6.412081361571381,6.217248937900877e-15
25.0,6.506340000734131,6.506340000734137,6.217248937900877e-15
25.5,6.599427740276032,6.599427740276037,5.329070518200751e-15
26.0,6.69135912534577,6.691359125345776,6.217248937900877e-15
26.5,6.782148520409298,6.7821485204093035,5.329070518200751e-15
27.0,6.871810111494307,6.871810111494312,5.329070518200751e-15
27.5,6.960357908406822,6.960357908406828,6.217248937900877e-15
