scenario,samples,peak_p05_mm,peak_p50_mm,peak_p95_mm,residual_p50_mm,residual_p95_mm,probability_exceedance,probability_false_safe
Building foundation,600,14.63610316333031,21.028828618433558,32.006291469012574,12.192554345113642,16.74279488836014,0.255,0.255
Bridge-abutment retrofit,600,14.142320390253264,20.00783828935605,29.973403446683903,12.487667148596563,16.885122175560163,0.8866666666666667,0.6283333333333333
Equipment-supported mat,600,6.932632327880423,10.80459176944312,17.97632602838528,4.554069869264942,6.158166383355997,0.5816666666666667,0.5816666666666667
