source,load_ratio,cycle,settlement_mm
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,9.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,10.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,11.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,12.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,13.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,14.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,15.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,16.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,17.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,18.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,19.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,20.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,21.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,22.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,23.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,24.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,25.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,26.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,27.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,28.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,29.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.6,30.0,0.4385
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,0.0,0.0
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,1.0,0.5032
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,2.0,0.654
"Qiu et al. (2025), Fig. 21 authors' workbook",0.7,3.0,0.7531
