scenario,service_load_kn,ultimate_capacity_kn,load_ratio,cycles,thermal_amplitude_c,allowable_settlement_mm,initial_mechanical_mm,peak_total_mm,minimum_total_mm,peak_abs_hydraulic_transient_mm,residual_cyclic_mm,end_cycle_total_mm,fully_drained_residual_mm,peak_serviceability_ratio,fully_drained_residual_serviceability_ratio,scenario_status
Building foundation,3000.0,7500.0,0.4,10,9.0,25.0,11.538461538461538,20.72463107405571,5.139324098435965,8.419618745908764,0.27306768111539614,6.5860424721993835,11.811529219576935,0.8289852429622284,0.47246116878307737,illustrative screening archetype
Bridge-abutment retrofit,4200.0,8400.0,0.5,10,8.0,15.0,11.666666666666666,19.718733580221443,6.270998825177234,7.484105551918903,0.4491245066735946,7.470914064560203,12.115791173340261,1.3145822386814294,0.8077194115560175,illustrative screening archetype
Equipment-supported mat,2200.0,6285.7142857,0.35000000000079545,10,7.0,10.0,4.230769230769231,11.19127837642867,-0.5890738065819869,6.548592357929049,0.2027477143669176,0.3692494749536137,4.433516945136148,1.119127837642867,0.4433516945136148,illustrative screening archetype
