scenario,sample,load_ratio,thermal_amplitude_c,mv_factor,cv_factor,lambda_factor,tm_peak_mm,full_peak_mm,residual_mm,full_exceeds,false_safe
Building foundation,0,0.35676382535545587,8.891491458392204,1.140050747879885,2.70331134793591,0.6351177658814754,10.508584038799283,20.518315837111466,9.505936713531376,False,False
Building foundation,1,0.3813718395793264,8.35658424894368,1.394328124005631,0.5213729522043759,1.1701836973176718,13.3684324352403,21.323396911808633,12.472764141182259,False,False
Building foundation,2,0.3971031491571652,8.250156144340767,1.0306409886337462,0.7418766748643107,1.0432486324927692,10.020647736378292,16.480316092774373,9.162671073456393,False,False
Building foundation,3,0.42789409780695525,7.740719979876137,0.8060659185549983,1.1341339323785862,1.3267850412209807,17.246324529784545,25.192718626948505,16.506600001630794,True,True
Building foundation,4,0.3812405342755893,8.447238063141558,1.1958159500112695,2.040975261845528,0.9303925625834042,10.984112498501926,23.73034176299706,10.07587592313431,False,False
Building foundation,5,0.43433615902012346,9.435155331247437,1.2273003600274897,1.3778094760420856,1.324183965050091,10.133682934827114,26.933888967113653,9.173316600597959,True,True
Building foundation,6,0.35875720934057037,9.765537666709559,0.8496232069737849,0.8085828224739187,0.7836145481704425,13.754808047635505,18.61911601173036,12.635444887722649,False,False
Building foundation,7,0.42097580155342385,9.409268402442516,0.9188974017029734,0.4434023572386201,1.119660711128292,13.40795295538697,18.25275678929579,12.429040664916482,False,False
Building foundation,8,0.3661322169149308,10.013754841401642,0.664416935169892,0.32757812163020733,1.0206859705316187,10.396389837332613,12.93207102778089,9.253074486135283,False,False
Building foundation,9,0.37469609129387343,7.62166729560099,1.110654689406093,2.500563023866979,1.2099756403308866,10.287337691865183,25.82192282199349,9.4825504797037,True,True
Building foundation,10,0.4110890995572967,9.331838835960092,0.975631863363412,1.2363969069688057,1.263824553916493,16.063659071272227,27.778757699568192,15.079525159475335,True,True
Building foundation,11,0.3873540819715861,7.680318703247859,1.3779605694769688,0.7652170329687694,0.9891418150057159,12.182375815931806,20.060296857807263,11.38773012029608,False,False
Building foundation,12,0.42936905786506907,10.197234550618562,0.7184789156653928,1.2865572318306904,1.0017616833666616,15.18287878313811,22.663406457773213,14.110133318908579,False,False
Building foundation,13,0.4088837721996147,7.721667034704861,1.2926949541508768,1.3082988394446098,0.6849364347541892,13.865144316588102,20.97202075595417,13.097437521033486,False,False
Building foundation,14,0.4479006575074999,8.266724436775478,0.8796889424612018,0.925352511849253,0.7066272669058269,17.48845845019486,21.68206010831269,16.710944424952743,False,False
Building foundation,15,0.34911414131951235,7.2599384846727455,1.1922122166901388,2.3923388991373544,0.6862933211139719,11.67055501929402,20.371163431627018,10.880731699895831,False,False
Building foundation,16,0.40964505628519304,8.428080930176735,1.2211643360936155,2.1488711007020194,1.199586616132807,15.909365296510432,33.22814635789776,15.046381487668729,True,True
Building foundation,17,0.3827756547348613,7.614203607032377,1.3334372495921212,0.3579874838162167,0.9887672833887249,15.79559060455382,20.137049719075115,15.003322774155356,False,False
Building foundation,18,0.3647564103452698,10.564079059526556,0.9157166196555009,0.9730369665432338,1.347442114541788,11.706850787590795,23.134569083986385,10.486508221193244,False,False
Building foundation,19,0.4013773159618553,9.821667877362735,0.9134295517005346,2.7384797139988004,0.8993879967547498,13.707429215786371,26.3806480081038,12.641335669397574,True,True
Building foundation,20,0.4143658292814589,10.606162165782592,0.8373582188319055,1.0285896217718142,1.3874231831559773,11.779023742487219,22.941966014231717,10.626050194101124,False,False
Building foundation,21,0.4355020181850988,8.767499660782846,1.2303333944923942,2.3362480648478257,1.3939874687781806,11.997710168675766,34.102414673682446,11.130487093334212,True,True
Building foundation,22,0.3619943530408822,10.73806416051794,1.2057200194151036,2.87845519603905,1.1806982008087765,17.533973161195707,42.440719541361545,16.28613470758482,True,True
Building foundation,23,0.37744226011268667,8.66735043653498,1.2606875389224208,2.1958441864292375,1.0649777360354058,14.660172664230323,31.14712927292458,13.716460277428007,True,True
Building foundation,24,0.4593183117259743,9.225945177491129,0.7180328223911352,1.0845094045119865,1.1569088989666567,13.390449043197005,20.452481279251916,12.502230716487693,False,False
Building foundation,25,0.36297680049242204,7.276519988506013,0.9506562311908633,0.3631343644304585,1.2210917215696542,13.947149723860676,17.599209563116364,13.173350094006743,False,False
Building foundation,26,0.3700399510039777,8.349125639322468,1.185154836768962,0.3299502529398739,0.7828287389570073,12.462683384364906,15.484792444024421,11.552062759572909,False,False
Building foundation,27,0.3876626902835569,7.651099789497893,1.3362302667566641,2.3414533185104647,1.0728535625342812,12.725354075192007,28.821764349446305,11.9351503647191,True,True
Building foundation,28,0.39932225752634454,7.280095474502872,0.9566697747360051,2.226597233664608,0.6778899149271599,15.852425702979081,22.452364008112394,15.130281550639362,False,False
Building foundation,29,0.37806968712794997,8.742913908248989,1.2752929415815328,2.5707648766867206,1.1215997297240428,12.18628110224486,31.44455645753266,11.233139858747858,True,True
Building foundation,30,0.3702107174147427,9.895114849070806,1.053185783296976,0.8076705778257255,1.213766891706775,10.497740589146408,20.336547570078515,9.376233546041062,False,False
Building foundation,31,0.3455966512320504,9.69031132249825,1.1776995721717778,1.7612109898851491,0.9423224599833941,16.117125497221974,29.547583503434502,14.990905251854194,True,True
Building foundation,32,0.38474077554383224,10.00419053008892,0.6254604130771607,0.6127930752085695,0.7946145964032559,14.632139826723842,17.602112887414915,13.51633439698804,False,False
Building foundation,33,0.3828083458142562,10.521088584436347,0.8592484861711263,0.9503742889067737,1.0173324311484677,11.145416566972912,18.9486114816076,9.956227129102686,False,False
Building foundation,34,0.4286872667412323,9.805509589772702,1.078441032497633,0.9004241830583039,0.7077880279454563,16.574015258890274,22.65296015921528,15.553633112465235,False,False
Building foundation,35,0.3800339796098655,8.78465032797467,0.7642311136424714,1.1894529079086398,0.6481702731206205,10.842280643310318,14.966604998883323,9.88623855963182,False,False
Building foundation,36,0.4197891106958057,7.957558496290016,1.238953191481584,0.6812555079900792,1.3034397214078002,13.92026638270832,22.94189141978869,13.137681546264142,False,False
