family,parameter_count,cv_rmse_mm,cv_se_mm,selected
power,3,0.4091270161663644,0.22361706237007356,False
asymptotic,3,0.43698105376434226,0.21376903163652042,False
logarithmic,2,0.45713908961897803,0.19670332952320557,True
